Paint Category,Part Number,Unit,Qty,Gallons,VOC Total
Clean-up solvents,,,,,
,FP.5000,55.00 55GAL,14,770,"4,526.20"
,FP.5000,5.00 5GAL,19,95,579.5
,FS.5700,53.00 53GAL,17,901,"5,496.10"
,FS.5700,5.00 5GAL,66,330,"2,013.00"
,GROW.1500,55.00 55GAL,2,110,646.6
,GROW.1500,5.00 5GAL,1,5,30.5
,ICI.P980-8212,5.00 5GAL,59,295,50.15
,KS.11131,1.00 EACH,24,24,9.55
,KS.CGC111,5.00 5GAL,70,350,"1,606.50"
,PPG.SWX100,5.00 5GAL,33,165,28.05
Clean-up solvents(Max allowed: 450.0),,,,"3,045.00","14,986.15"
Primer sealer,,,,,
,PPG.D8081,1.00 QUART,150,37.5,45.38
,PPG.D8085,1.00 GALLON,111,111,137.64
,PPG.D8087,1.00 GALLON,86,86,105.78
,PPG.ECS61,1.00 GALLON,30,30,71.1
,PPG.ECS65,1.00 GALLON,81,81,196.02
,PPG.ECS67,1.00 GALLON,79,79,193.55
Primer sealer(Max allowed: 450.0),,,,424.5,749.47
Primer / Primer surfacer,,,,,
,ICI.P565-9880,1.00 QUART,3,0.75,2.9
,ICI.P950-5505,2.00 2LITER,6,3.17,0.96
,PPG.D8005,1.00 GALLON,153,153,642.6
,PPG.DPX171,1.00 QUART,3,0.75,3.95
,PPG.ECP15,1.00 GALLON,91,91,123.76
,PPG.JP202,1.00 GALLON,1,1,3.82
,PPG.SU4903,1.00 QUART,825,206.25,"1,429.31"
,PPG.SUA4903,1.00 AERO,78,7.31,41.75
,PPG.SX1071,1.00 QUART,2,0.5,1.93
,SEM.39673,1.00 AERO,3,0.28,1.82
,SEM.39683,1.00 AERO,198,18.56,139.31
,SEM.39783,1.00 AERO,12,1.13,3.53
,TRE.4603,1.00 EACH,554,554,299.49
,URE.3601-1,1.00 GALLON,60,60,378
"Primer / Primer surfacer(Max allowed: 1,575.0)",,,,"1,097.70","3,073.15"
Specialty coatings,,,,,
,3M.5917,1.00 EACH,40,40,8.8
,KS.AR343,1.00 GALLON,11,11,112.64
,PPG.D885,1.00 PINT,7,0.88,7.01
,PPG.D895,1.00 GALLON,201,201,"1,149.72"
,PPG.JX994,1.00 PINT,7,0.88,6.26
,PPG.JX995,1.00 PINT,3,0.38,2.71
,PPG.SU4985,1.00 QUART,14,3.5,19.53
,PPG.T510,1.00 LITER,15,3.96,3.6
